theme,palette,step,hex
Jupiter,primary,10,#061b2c
Jupiter,primary,20,#162b3d
Jupiter,primary,30,#273c50
Jupiter,primary,40,#384f63
Jupiter,primary,50,#4b6176
Jupiter,primary,60,#5d758a
Jupiter,primary,70,#71899f
Jupiter,primary,80,#859eb4
Jupiter,primary,90,#9ab3ca
Jupiter,primary,100,#afc8e0
Jupiter,secondary,10,#3b1d00
Jupiter,secondary,20,#572e00
Jupiter,secondary,30,#753f00
Jupiter,secondary,40,#945100
Jupiter,secondary,50,#b26612
Jupiter,secondary,60,#cc7e33
Jupiter,secondary,70,#e7964e
Jupiter,secondary,80,#ffb16e
Jupiter,secondary,90,#ffd5b4
Jupiter,secondary,100,#fff7f0
Jupiter,tertiary,10,#000a15
Jupiter,tertiary,20,#031421
Jupiter,tertiary,30,#0c1e2c
Jupiter,tertiary,40,#162937
Jupiter,tertiary,50,#213443
Jupiter,tertiary,60,#2c404f
Jupiter,tertiary,70,#384c5b
Jupiter,tertiary,80,#445867
Jupiter,tertiary,90,#506474
Jupiter,tertiary,100,#5c7181
Jupiter,neutral,10,#252623
Jupiter,neutral,20,#393a37
Jupiter,neutral,30,#4e4f4c
Jupiter,neutral,40,#646562
Jupiter,neutral,50,#7b7c78
Jupiter,neutral,60,#929490
Jupiter,neutral,70,#abaca8
Jupiter,neutral,80,#c4c5c1
Jupiter,neutral,90,#dddfdb
Jupiter,neutral,100,#f8f9f5
Spring,primary,10,#003414
Spring,primary,20,#004b20
Spring,primary,30,#00642d
Spring,primary,40,#227b41
Spring,primary,50,#3d9357
Spring,primary,60,#56ab6d
Spring,primary,70,#6fc385
Spring,primary,80,#88dd9c
Spring,primary,90,#a1f6b5
Spring,primary,100,#eaffee
Spring,secondary,10,#00170b
Spring,secondary,20,#002715
Spring,secondary,30,#0e3623
Spring,secondary,40,#1f4531
Spring,secondary,50,#2e5540
Spring,secondary,60,#3e654f
Spring,secondary,70,#4e765f
Spring,secondary,80,#5f8770
Spring,secondary,90,#709881
Spring,secondary,100,#81aa92
Spring,tertiary,10,#00191e
Spring,tertiary,20,#002930
Spring,tertiary,30,#003b43
Spring,tertiary,40,#0c4c56
Spring,tertiary,50,#235d68
Spring,tertiary,60,#366f7a
Spring,tertiary,70,#49828d
Spring,tertiary,80,#5c95a0
Spring,tertiary,90,#6ea8b3
Spring,tertiary,100,#82bcc7
Spring,neutral,10,#242626
Spring,neutral,20,#38393a
Spring,neutral,30,#4d4e4f
Spring,neutral,40,#636465
Spring,neutral,50,#7a7b7c
Spring,neutral,60,#919393
Spring,neutral,70,#aaacac
Spring,neutral,80,#c3c5c5
Spring,neutral,90,#dcdedf
Spring,neutral,100,#f7f9f9
Gold,primary,10,#353200
Gold,primary,20,#4a4500
Gold,primary,30,#605a00
Gold,primary,40,#776f00
Gold,primary,50,#8f8600
Gold,primary,60,#a79d00
Gold,primary,70,#bfb424
Gold,primary,80,#d7cc46
Gold,primary,90,#efe562
Gold,primary,100,#fffcc5
Gold,secondary,10,#251900
Gold,secondary,20,#3a2900
Gold,secondary,30,#503900
Gold,secondary,40,#674b00
Gold,secondary,50,#805e00
Gold,secondary,60,#997100
Gold,secondary,70,#b18518
Gold,secondary,80,#c89b37
Gold,secondary,90,#dfb150
Gold,secondary,100,#f6c868
Gold,tertiary,10,#1b0900
Gold,tertiary,20,#2a1402
Gold,tertiary,30,#38200d
Gold,tertiary,40,#462d1a
Gold,tertiary,50,#543b27
Gold,tertiary,60,#634935
Gold,tertiary,70,#725743
Gold,tertiary,80,#826652
Gold,tertiary,90,#927560
Gold,tertiary,100,#a2856f
Gold,neutral,10,#161616
Gold,neutral,20,#252525
Gold,neutral,30,#343535
Gold,neutral,40,#454546
Gold,neutral,50,#565657
Gold,neutral,60,#686869
Gold,neutral,70,#7a7b7b
Gold,neutral,80,#8d8e8e
Gold,neutral,90,#a1a1a2
Gold,neutral,100,#b5b5b5
